,,,,,"Updated July 18, 2025"
Mrkt,Store,City,ST,Sum of cost,Sum of retail
18,1122,EASTANOLLEE,GA,$0.00 ,"$7,304.46 "
18,2513,DAHLONEGA,GA,$0.00 ,"$9,247.28 "
18,5786,JASPER,GA,$0.00 ,"$6,197.50 "
21,520,WINDER,GA,$0.00 ,"$8,170.00 "
21,1363,MADISON,GA,$0.00 ,"$8,424.28 "
22,1488,DOUGLASVILLE,GA,$0.00 ,"$5,886.98 "
25,5252,LOGANVILLE,GA,$0.00 ,"$6,742.81 "
30,1227,AUGUSTA,GA,$0.00 ,"$7,712.20 "
30,1293,AUGUSTA,GA,$0.00 ,"$5,313.29 "
32,1367,WARNER ROBINS,GA,$0.00 ,"$6,622.22 "
28,862,HINESVILLE,GA,$0.00 ,"$6,962.73 "
28,2630,JESUP,GA,$0.00 ,"$8,924.93 "
93,1297,CHIEFLAND,FL,$0.00 ,"$7,723.73 "
93,1847,OCALA,FL,$0.00 ,"$5,853.55 "
95,1104,INVERNESS,FL,$0.00 ,"$14,292.97 "
95,2843,SUMMERFIELD,FL,$0.00 ,"$16,990.62 "
111,2796,OLDSMAR,FL,$0.00 ,"$6,938.81 "
112,2627,TAMPA,FL,$0.00 ,"$14,019.52 "
114,1203,WIMAUMA,FL,$0.00 ,"$22,096.55 "
114,3463,BRANDON,FL,$0.00 ,"$20,796.12 "
114,5300,GIBSONTON,FL,$0.00 ,"$5,809.17 "
90,1220,ORLANDO,FL,$0.00 ,"$12,695.73 "
90,4332,ORLANDO,FL,$0.00 ,"$24,338.76 "
90,5420,KISSIMMEE,FL,$0.00 ,"$13,874.44 "
92,931,VERO BEACH,FL,$0.00 ,"$15,055.74 "
92,3538,MELBOURNE,FL,$0.00 ,"$9,347.94 "
92,5455,PALM BAY,FL,$0.00 ,"$10,668.39 "
107,929,PORT SAINT LUCIE,FL,$0.00 ,"$12,951.06 "
108,1517,POMPANO BEACH,FL,$0.00 ,"$8,899.33 "
108,3858,BOCA RATON,FL,$0.00 ,"$10,333.71 "
115,3370,PALMETTO,FL,$0.00 ,"$5,381.27 "
116,580,BARTOW,FL,$0.00 ,"$11,079.39 "
116,718,AUBURNDALE,FL,$0.00 ,"$11,581.71 "
118,2484,CLEWISTON,FL,$0.00 ,"$7,737.97 "
118,3349,PORT CHARLOTTE,FL,$0.00 ,"$6,383.80 "
4,105,CORINTH,MS,$0.00 ,"$10,309.56 "
4,114,BOONEVILLE,MS,$0.00 ,"$5,320.26 "
4,153,NEW ALBANY,MS,$0.00 ,"$7,935.26 "
11,764,BESSEMER,AL,$0.00 ,"$9,338.13 "
136,347,INDIANOLA,MS,$0.00 ,"$9,995.20 "
136,707,CLARKSDALE,MS,$0.00 ,"$6,424.66 "
138,183,LOUISVILLE,MS,$0.00 ,"$9,307.90 "
140,2720,MADISON,MS,$0.00 ,"$22,144.80 "
140,3060,YAZOO CITY,MS,$0.00 ,"$10,501.43 "
146,93,COVINGTON,TN,$0.00 ,"$15,264.29 "
146,677,DYERSBURG,TN,$0.00 ,"$6,170.59 "
147,161,HUNTINGDON,TN,$0.00 ,"$6,653.32 "
147,238,PULASKI,TN,$0.00 ,"$13,423.36 "
147,683,LAWRENCEBURG,TN,$0.00 ,"$19,280.91 "
119,663,ATHENS,TN,$0.00 ,"$17,641.69 "
120,658,ROME,GA,$0.00 ,"$10,968.49 "
120,1215,CALHOUN,GA,$0.00 ,"$10,220.51 "
120,5151,ROME,GA,$0.00 ,"$8,249.17 "
121,5175,ALGOOD,TN,$0.00 ,"$7,364.70 "
122,1319,KNOXVILLE,TN,$0.00 ,"$10,942.88 "
123,578,SEVIERVILLE,TN,$0.00 ,"$10,446.11 "
124,599,KINGSPORT,TN,$0.00 ,"$28,858.45 "
124,3289,WEST JEFFERSON,NC,$0.00 ,"$12,916.10 "
149,1075,CLARKSVILLE,TN,$0.00 ,"$5,248.96 "
151,735,WINCHESTER,TN,$0.00 ,"$17,577.76 "
151,5057,MURFREESBORO,TN,$0.00 ,"$5,462.23 "
1,853,MOBILE,AL,$0.00 ,"$6,717.02 "
7,2534,DOTHAN,AL,$0.00 ,"$16,896.89 "
10,329,ANNISTON,AL,$0.00 ,"$7,665.53 "
10,432,TALLADEGA,AL,$0.00 ,"$6,254.21 "
10,733,VALLEY,AL,$0.00 ,"$6,431.23 "
14,1222,PENSACOLA,FL,$0.00 ,"$13,424.73 "
15,5845,NICEVILLE,FL,$0.00 ,"$7,737.79 "
16,1311,COLUMBUS,GA,$0.00 ,"$6,193.67 "
16,5363,HAMPTON,GA,$0.00 ,"$6,355.31 "
801,2072,GUAYAMA,PR,"$13,485.72 ","$61,535.23 "
801,2240,HUMACAO,PR,"$41,262.75 ","$18,321.19 "
801,2423,CAROLINA,PR,"$22,875.74 ","$195,267.94 "
801,2449,CAGUAS,PR,$0.00 ,"$18,755.51 "
801,3693,SANTA ISABEL,PR,"$15,722.15 ","$66,672.60 "
801,5793,PONCE,PR,$0.00 ,"$6,362.21 "
801,5802,CANOVANAS,PR,"$32,387.09 ","$96,562.33 "
811,2085,ISABELA,PR,"$25,852.39 ","$68,842.95 "
811,2302,BARCELONETA,PR,"$19,999.74 ","$27,407.97 "
811,5803,SAN JUAN,PR,"$9,421.42 ","$17,033.45 "
321,55,BOONEVILLE,AR,$0.00 ,"$5,898.04 "
321,279,DE QUEEN,AR,$0.00 ,"$8,185.74 "
325,33,NASHVILLE,AR,$0.00 ,"$8,899.59 "
325,1065,HOPE,AR,$0.00 ,"$12,314.16 "
326,2575,CONWAY,AR,$0.00 ,"$15,943.63 "
326,4168,BEEBE,AR,$0.00 ,"$5,445.86 "
327,714,HELENA-WEST HELENA,AR,$0.00 ,"$5,898.69 "
328,157,SEARCY,AR,$0.00 ,"$28,276.25 "
328,788,CLINTON,AR,$0.00 ,"$8,839.81 "
334,267,WEBB CITY,MO,$0.00 ,"$10,512.41 "
45,1044,TYLER,TX,$0.00 ,"$7,701.65 "
51,5672,LUCAS,TX,$0.00 ,"$7,832.41 "
55,260,WAXAHACHIE,TX,$0.00 ,"$5,858.65 "
583,1055,GARLAND,TX,$0.00 ,"$15,174.00 "
61,462,ALVIN,TX,$0.00 ,"$8,612.66 "
78,5898,CORPUS CHRISTI,TX,$0.00 ,"$5,308.17 "
84,1098,PORT LAVACA,TX,$0.00 ,"$5,227.41 "
73,513,BIG SPRING,TX,$0.00 ,"$8,747.24 "
73,537,ODESSA,TX,$0.00 ,"$8,444.09 "
73,608,MIDLAND,TX,$0.00 ,"$5,415.33 "
74,1249,SAN ANGELO,TX,$0.00 ,"$5,830.17 "
77,5245,SAN ANTONIO,TX,$0.00 ,"$5,473.60 "
81,381,COPPERAS COVE,TX,$0.00 ,"$5,023.74 "
82,1129,AUSTIN,TX,$0.00 ,"$13,611.60 "
82,4554,AUSTIN,TX,$0.00 ,"$9,742.13 "
83,1185,AUSTIN,TX,$0.00 ,"$20,383.17 "
87,4055,UNIVERSAL CITY,TX,$0.00 ,"$8,388.40 "
506,1154,FREDERICKSBURG,TX,$0.00 ,"$8,510.46 "
506,3057,HELOTES,TX,$0.00 ,"$5,278.45 "
128,1342,KENNER,LA,$0.00 ,"$6,641.12 "
129,540,MORGAN CITY,LA,$0.00 ,"$9,325.90 "
130,1102,BAKER,LA,$0.00 ,"$7,867.81 "
131,2822,WALKER,LA,$0.00 ,"$6,932.40 "
131,3288,BATON ROUGE,LA,$0.00 ,"$9,700.67 "
141,785,WAYNESBORO,MS,$0.00 ,"$6,461.35 "
141,874,NATCHEZ,MS,$0.00 ,"$11,521.84 "
141,2717,HATTIESBURG,MS,$0.00 ,"$8,628.27 "
143,1066,PASCAGOULA,MS,$0.00 ,"$10,439.39 "
143,2715,DIBERVILLE,MS,$0.00 ,"$11,362.06 "
503,140,LUFKIN,TX,$0.00 ,"$9,346.59 "
503,214,JASPER,TX,$0.00 ,"$7,334.92 "
47,148,PARIS,TX,$0.00 ,"$13,244.62 "
