Store #,Market:,Store Type, Volume Classification
1,323,SUP,H
2,322,SUP,L
3,21,SUP,L
4,323,SUP,L
5,326,SUP,M
7,326,SUP,M
8,326,SUP,L
9,335,SUP,L
10,347,SUP,L
11,328,SUP,L
12,347,SUP,L
13,334,SUP,L
14,357,SUP,L
15,333,SUP,L
16,321,SUP,M
17,334,SUP,L
18,328,SUP,L
19,335,SUP,L
20,361,SUP,L
21,336,SUP,L
22,347,SUP,L
23,135,SUP,L
24,326,SUP,M
25,359,SUP,L
26,411,SUP,L
27,357,SUP,L
28,347,SUP,L
29,336,SUP,L
30,335,SUP,L
31,351,SUP,L
32,333,W/M,L
33,325,SUP,L
34,334,SUP,L
35,407,SUP,M
36,329,SUP,L
37,335,SUP,L
38,47,SUP,L
39,410,SUP,L
40,359,SUP,L
41,345,SUP,L
42,410,SUP,L
43,407,SUP,L
44,336,W/M,L
45,329,SUP,M
46,357,SUP,L
47,351,SUP,L
48,334,SUP,L
49,47,SUP,L
50,347,SUP,L
51,359,SUP,L
52,325,SUP,M
54,322,SUP,H
55,321,SUP,L
56,333,SUP,L
58,325,SUP,M
59,334,SUP,M
60,339,SUP,L
61,361,SUP,L
62,329,SUP,L
63,347,SUP,L
64,146,SUP,L
65,336,SUP,L
66,321,SUP,L
67,321,SUP,L
68,329,SUP,L
69,335,SUP,M
70,329,SUP,L
71,328,SUP,L
72,410,SUP,L
73,356,SUP,M
74,329,SUP,L
75,134,SUP,M
76,322,SUP,L
77,83,SUP,L
78,357,SUP,L
79,334,SUP,M
80,359,SUP,L
82,335,SUP,L
83,327,SUP,L
85,324,SUP,M
86,357,SUP,M
87,127,SUP,L
88,357,SUP,L
89,336,SUP,L
90,347,SUP,L
91,329,SUP,L
92,334,SUP,L
93,146,SUP,L
94,145,SUP,M
95,335,SUP,L
96,361,SUP,L
97,146,SUP,L
98,135,SUP,L
99,340,SUP,L
100,323,SUP,H
101,336,SUP,L
102,327,SUP,L
103,351,SUP,L
104,146,SUP,L
105,4,SUP,L
106,146,SUP,L
107,146,SUP,L
108,344,SUP,L
109,360,SUP,L
110,89,SUP,H
111,410,SUP,L
112,138,SUP,L
113,349,SUP,L
114,4,SUP,L
115,138,SUP,L
117,47,W/M,L
118,4,SUP,L
119,328,SUP,L
120,146,SUP,L
121,351,SUP,L
122,335,SUP,L
123,351,SUP,L
124,324,SUP,M
125,321,SUP,M
126,324,SUP,M
127,325,SUP,L
128,329,SUP,M
129,350,SUP,L
130,347,SUP,L
131,47,SUP,L
132,344,SUP,L
133,325,SUP,L
134,344,SUP,L
135,360,SUP,L
136,345,W/M,L
137,352,SUP,L
138,357,SUP,M
139,353,SUP,L
140,503,SUP,L
141,321,SUP,M
143,253,SUP,L
144,322,SUP,H
145,339,SUP,L
146,46,SUP,L
147,350,SUP,M
148,47,SUP,L
149,135,SUP,L
150,344,SUP,L
151,350,SUP,L
152,335,SUP,L
153,4,SUP,L
154,311,SUP,L
155,136,SUP,L
157,328,SUP,M
158,350,SUP,L
159,359,SUP,M
160,328,SUP,L
161,147,SUP,L
163,503,SUP,L
164,4,SUP,L
165,46,SUP,L
166,357,,L
167,327,SUP,L
168,345,SUP,M
169,326,SUP,L
170,134,SUP,L
171,327,SUP,L
172,340,SUP,L
173,357,SUP,L
174,92,SUP,H
175,144,SUP,H
176,4,W/M,L
177,146,SUP,L
178,344,SUP,L
179,357,SUP,M
180,46,SUP,L
181,47,SUP,L
182,136,SUP,L
183,138,SUP,L
184,361,SUP,M
185,350,SUP,L
186,409,SUP,L
188,335,SUP,H
189,359,SUP,L
190,329,SUP,L
192,151,SUP,M
194,60,SUP,L
195,360,SUP,M
196,271,SUP,L
197,278,SUP,L
198,272,SUP,L
199,278,SUP,L
200,275,SUP,L
201,341,SUP,M
202,51,SUP,M
203,359,SUP,L
204,253,SUP,L
205,138,SUP,L
206,52,SUP,M
210,351,SUP,L
211,76,SUP,L
212,353,SUP,M
213,272,SUP,L
214,503,SUP,L
216,271,SUP,L
217,53,SUP,M
218,147,SUP,L
219,336,SUP,L
220,48,SUP,M
221,344,SUP,M
222,271,SUP,L
224,272,SUP,L
225,350,SUP,L
226,47,SUP,L
227,344,SUP,L
228,48,SUP,L
229,329,SUP,L
231,351,SUP,L
232,350,SUP,L
233,271,SUP,L
234,360,SUP,M
236,503,SUP,L
237,271,SUP,L
238,147,SUP,L
239,138,SUP,L
240,47,SUP,L
242,410,SUP,L
243,339,SUP,M
244,135,SUP,L
246,345,SUP,L
247,351,W/M,L
248,76,SUP,L
249,503,SUP,L
250,357,SUP,L
251,45,SUP,L
252,271,SUP,L
253,341,SUP,L
254,273,SUP,L
256,341,SUP,M
257,254,SUP,L
258,4,SUP,M
259,583,SUP,L
260,55,SUP,L
261,325,SUP,L
262,271,SUP,L
264,149,SUP,M
265,45,SUP,M
266,50,SUP,H
267,334,SUP,M
268,147,SUP,L
269,349,SUP,L
271,349,SUP,L
272,153,SUP,M
273,4,SUP,L
275,503,SUP,L
276,351,SUP,L
277,353,SUP,M
278,127,SUP,M
279,321,SUP,L
280,83,SUP,L
281,328,SUP,L
282,253,SUP,L
283,66,W/M,L
284,49,SUP,M
285,503,SUP,L
286,55,SUP,L
287,11,SUP,L
288,503,SUP,L
290,77,SUP,L
292,87,SUP,L
293,85,W/M,L
294,253,SUP,L
295,340,SUP,M
296,325,SUP,L
297,59,SUP,M
298,3,SUP,L
299,254,SUP,M
300,3,SUP,L
301,3,SUP,M
302,271,SUP,L
303,4,,L
304,149,SUP,M
305,138,,L
306,5,SUP,L
307,135,SUP,L
308,152,SUP,L
309,132,SUP,L
310,132,SUP,L
311,129,W/M,L
312,134,SUP,L
313,340,SUP,M
314,5,SUP,L
315,3,SUP,L
316,3,SUP,M
317,272,SUP,L
318,325,SUP,L
319,361,SUP,M
321,85,SUP,L
322,85,SUP,M
323,127,SUP,L
324,356,SUP,L
325,360,SUP,L
328,341,SUP,L
329,10,SUP,M
330,84,SUP,M
331,66,SUP,M
332,5,SUP,M
333,254,SUP,L
334,275,SUP,L
335,146,SUP,L
336,325,SUP,L
337,335,SUP,L
338,334,,L
340,351,SUP,L
342,411,,L
343,275,SUP,L
344,65,SUP,L
345,46,SUP,L
346,409,SUP,L
347,136,SUP,L
348,327,SUP,L
350,433,SUP,L
351,68,SUP,M
353,48,SUP,L
354,336,,L
355,10,SUP,L
356,10,SUP,M
357,336,,L
358,321,SUP,L
359,322,SUP,H
360,352,SUP,L
361,341,SUP,H
362,11,SUP,L
363,359,SUP,L
364,503,SUP,L
365,140,SUP,M
366,121,SUP,L
368,410,SUP,L
369,406,SUP,L
370,406,,L
371,48,SUP,L
372,406,SUP,L
373,322,SUP,L
374,347,SUP,L
375,5,SUP,M
376,127,SUP,M
377,516,WNM,L
378,411,SUP,L
379,333,SUP,M
381,81,SUP,L
382,410,SUP,L
383,66,SUP,L
384,66,SUP,M
386,132,SUP,L
387,352,,L
388,321,SUP,M
389,352,SUP,M
390,149,SUP,L
391,4,SUP,L
392,344,SUP,L
393,147,SUP,L
394,137,SUP,L
395,80,SUP,M
396,39,SUP,M
397,80,SUP,M
398,46,SUP,M
399,46,SUP,M
400,68,SUP,M
401,131,SUP,L
402,132,SUP,M
403,137,SUP,L
404,87,SUP,L
405,134,SUP,L
406,151,SUP,M
407,81,SUP,M
408,66,SUP,M
409,137,SUP,L
410,146,SUP,L
412,45,SUP,L
413,569,SUP,L
414,349,SUP,M
415,132,SUP,H
416,151,SUP,H
417,47,SUP,L
420,349,SUP,L
421,479,SUP,L
422,273,SUP,L
423,13,SUP,M
424,8,SUP,L
425,11,SUP,L
426,53,SUP,M
427,47,SUP,L
428,130,SUP,L
429,80,SUP,M
430,253,SUP,L
431,253,SUP,M
432,10,SUP,L
433,5,SUP,M
434,5,SUP,M
435,272,SUP,L
436,272,SUP,L
437,84,SUP,L
438,74,SUP,L
440,78,SUP,L
442,78,SUP,L
443,88,SUP,L
444,333,SUP,H
445,256,SUP,L
447,88,SUP,L
448,127,SUP,L
449,66,SUP,M
450,127,SUP,M
451,359,SUP,M
452,80,SUP,M
454,272,SUP,L
456,569,SUP,M
457,66,SUP,M
458,78,SUP,L
459,25,SUP,M
461,88,SUP,L
462,61,SUP,M
463,84,SUP,L
464,78,SUP,L
465,77,SUP,L
466,147,SUP,L
467,52,SUP,M
468,47,SUP,M
469,66,SUP,M
470,78,SUP,M
471,49,SUP,L
472,356,SUP,M
475,83,SUP,M
476,81,SUP,L
477,119,SUP,M
479,349,SUP,L
481,273,SUP,L
482,61,W/M,L
483,8,SUP,M
484,411,SUP,M
485,129,SUP,L
486,362,SUP,L
488,97,SUP,L
489,128,SUP,M
490,78,SUP,L
491,253,SUP,M
492,580,SUP,M
493,260,SUP,L
494,16,SUP,L
495,138,SUP,L
497,242,SUP,L
498,134,SUP,L
499,344,SUP,L
500,505,SUP,M
501,141,SUP,L
502,129,SUP,L
504,61,SUP,L
505,134,SUP,L
506,272,SUP,L
507,260,SUP,L
508,506,SUP,L
510,21,SUP,M
511,38,SUP,M
512,505,SUP,H
513,73,SUP,L
514,39,SUP,M
515,18,SUP,L
516,45,SUP,L
517,353,SUP,M
518,24,SUP,M
519,260,SUP,L
520,21,SUP,H
521,66,SUP,M
522,60,SUP,M
523,46,SUP,L
524,84,SUP,L
525,549,WNM,L
526,242,SUP,M
527,61,SUP,L
528,115,SUP,H
529,61,SUP,M
530,327,SUP,L
531,132,SUP,M
532,130,SUP,M
533,132,SUP,L
535,74,SUP,L
536,74,SUP,M
537,73,SUP,L
538,93,SUP,M
539,134,SUP,M
540,129,SUP,L
541,128,SUP,M
542,129,SUP,L
543,132,SUP,L
544,353,SUP,M
546,62,SUP,M
547,114,SUP,M
548,25,SUP,M
549,71,SUP,L
550,273,SUP,L
551,93,SUP,L
552,258,W/M,L
553,125,SUP,M
554,88,W/M,L
555,32,SUP,L
556,28,SUP,L
557,407,SUP,L
558,407,SUP,L
559,418,SUP,L
560,360,SUP,L
561,76,SUP,L
562,2,SUP,L
563,94,SUP,M
564,344,SUP,H
565,55,SUP,L
566,580,SUP,M
567,85,W/M,L
568,152,SUP,L
569,257,SUP,L
571,260,SUP,M
572,46,SUP,L
573,361,SUP,M
574,37,SUP,H
575,26,SUP,H
576,345,SUP,H
577,362,SUP,M
578,123,SUP,M
579,94,SUP,M
580,116,SUP,M
581,414,SUP,L
582,94,SUP,M
583,121,SUP,L
584,260,SUP,L
585,42,SUP,M
586,37,SUP,M
587,152,SUP,L
588,27,SUP,M
589,256,SUP,H
590,48,SUP,M
591,259,SUP,L
592,406,SUP,M
593,28,SUP,L
594,19,SUP,M
595,569,SUP,L
596,271,W/M,L
598,429,SUP,L
599,124,SUP,M
600,70,SUP,L
601,74,SUP,L
602,68,SUP,M
603,278,SUP,M
604,7,SUP,M
605,29,SUP,L
606,29,W/M,M
608,73,SUP,L
609,275,SUP,L
610,76,SUP,L
611,387,SUP,L
612,273,SUP,L
613,94,SUP,M
614,16,SUP,L
615,22,SUP,M
616,38,SUP,L
618,26,SUP,M
619,119,SUP,L
620,124,SUP,M
621,37,SUP,L
622,344,SUP,M
623,118,SUP,H
624,39,SUP,L
625,37,SUP,L
627,38,SUP,L
628,36,SUP,M
629,42,SUP,L
630,38,SUP,L
631,35,SUP,M
632,36,SUP,L
633,279,SUP,L
634,38,SUP,L
635,29,SUP,M
636,279,SUP,L
637,429,SUP,L
638,42,SUP,L
639,28,SUP,L
640,35,SUP,M
