Store,Install Date
2471,1/3/2023
2355,1/3/2023
449,1/3/2023
5124,1/3/2023
5771,1/8/2023
878,1/8/2023
420,1/8/2023
2539,1/8/2023
157,1/8/2023
54,1/8/2023
1303,1/8/2023
1838,1/8/2023
1043,1/8/2023
2442,1/8/2023
3379,1/8/2023
901,1/8/2023
2141,1/8/2023
148,1/8/2023
1586,1/8/2023
3621,1/8/2023
806,1/8/2023
3430,1/8/2023
3614,1/8/2023
3501,1/8/2023
5314,1/8/2023
5789,1/9/2023
3114,1/9/2023
202,1/9/2023
573,1/9/2023
3631,1/9/2023
648,1/9/2023
992,1/9/2023
1118,1/9/2023
837,1/9/2023
7072,1/9/2023
2396,1/9/2023
60,1/9/2023
48,1/9/2023
37,1/9/2023
2038,1/9/2023
471,1/9/2023
228,1/9/2023
5854,1/9/2023
5613,1/9/2023
1137,1/9/2023
4163,1/10/2023
5109,1/10/2023
1203,1/10/2023
2691,1/10/2023
2733,1/10/2023
2646,1/10/2023
1362,1/10/2023
5141,1/10/2023
2651,1/10/2023
5624,1/11/2023
5497,1/11/2023
6936,1/11/2023
6207,1/11/2023
3870,1/11/2023
2393,1/11/2023
3344,1/12/2023
3008,1/12/2023
2718,1/12/2023
2122,1/12/2023
5719,1/16/2023
3872,1/17/2023
3119,1/17/2023
5707,1/17/2023
2926,1/17/2023
5872,1/17/2023
9,1/17/2023
710,1/17/2023
1570,1/17/2023
1662,1/17/2023
2193,1/17/2023
2331,1/17/2023
2476,1/17/2023
2611,1/17/2023
5034,1/17/2023
500,1/24/2023
578,1/24/2023
1432,1/24/2023
1476,1/24/2023
1754,1/24/2023
2086,1/24/2023
2505,1/24/2023
3319,1/24/2023
4104,1/24/2023
4686,1/24/2023
4690,1/24/2023
1850,1/24/2023
2000,1/24/2023
2938,1/24/2023
3530,1/24/2023
5810,1/24/2023
1383,1/31/2023
1590,1/31/2023
2450,1/31/2023
2591,1/31/2023
3043,1/31/2023
3527,1/31/2023
4483,1/31/2023
4503,1/31/2023
5142,1/31/2023
5823,1/31/2023
2533,1/31/2023
5147,1/31/2023
5725,2/5/2023
4108,2/5/2023
177,2/5/2023
652,2/5/2023
2725,2/6/2023
972,2/6/2023
5764,2/6/2023
2930,2/6/2023
3502,2/7/2023
5305,2/7/2023
4184,2/7/2023
5791,2/8/2023
5106,2/8/2023
4206,2/12/2023
132,2/12/2023
414,2/12/2023
583,2/12/2023
836,2/12/2023
866,2/12/2023
968,2/12/2023
1011,2/12/2023
1083,2/12/2023
1091,2/12/2023
1448,2/12/2023
1458,2/12/2023
1977,2/12/2023
2627,2/12/2023
2647,2/12/2023
2922,2/12/2023
3163,2/12/2023
3722,2/12/2023
4516,2/12/2023
5482,2/12/2023
1719,2/12/2023
2249,2/12/2023
29,2/12/2023
101,2/12/2023
1021,2/12/2023
1147,2/12/2023
206,2/13/2023
281,2/13/2023
518,2/13/2023
705,2/13/2023
804,2/13/2023
890,2/13/2023
1030,2/13/2023
1074,2/13/2023
1084,2/13/2023
1171,2/13/2023
1193,2/13/2023
1207,2/13/2023
1364,2/13/2023
1407,2/13/2023
1455,2/13/2023
1794,2/13/2023
2341,2/13/2023
2598,2/13/2023
2865,2/13/2023
3077,2/13/2023
3858,2/13/2023
4757,2/13/2023
6397,2/13/2023
4554,2/13/2023
5462,2/13/2023
999,2/13/2023
1500,2/13/2023
2239,2/13/2023
4421,2/14/2023
580,2/14/2023
599,2/14/2023
864,2/14/2023
928,2/14/2023
1239,2/14/2023
1504,2/14/2023
2547,2/14/2023
5220,2/14/2023
566,2/14/2023
1437,2/14/2023
1942,2/14/2023
3571,2/14/2023
5267,2/15/2023
5758,2/15/2023
5938,2/15/2023
6894,2/15/2023
572,2/15/2023
1545,2/15/2023
5692,2/15/2023
4692,2/16/2023
1138,2/16/2023
