Store,Market,Store Type,Launch Date ,,,,,,,
880,50,SUP,4/18/2023,,,,,,,
1203,116,SUP,4/18/2023,,,,,,,
2387,114,SUP,4/18/2023,,,,,,,
1712,111,SUP,4/26/2023,,,,,,,
4690,111,SUP,4/26/2023,,,,,,,
1085,104,SUP,4/26/2023,,,,,,,
988,104,SUP,4/26/2023,,,,,,,
3284,44,SUP,5/16/2023,,,,,,,
3296,64,SUP,6/15/2023,,,,,,,
1062,63,SUP,6/15/2023,,,,,,,
4526,63,SUP,6/15/2023,,,,,,,
1103,59,SUP,6/15/2023,,,,,,,
3601,266,SUP,6/14/2023,,,,,,,
2818,238,SUP,6/14/2023,,,,,,,
2141,166,SUP,6/14/2023,,,,,,,
3564,170,SUP,6/14/2023,,,,,,,
1892,268,SUP,6/14/2023,,,,,,,
4509,48,SUP,7/11/2023,,,,,,,
1800,583,SUP,7/11/2023,,,,,,,
1118,55,SUP,7/11/2023,,,,,,,
2996,53,SUP,7/11/2023,,,,,,,
5211,52,SUP,7/11/2023,,,,,,,
5316,479,SUP,7/11/2023,,,,,,,
266,50,SUP,7/11/2023,,,,,,,
3197,112,SUP,7/18/2023,,,,,,,
1349,109,SUP,7/18/2023,,,,,,,
955,91,SUP,7/18/2023,,,,,,,
1960,112,SUP,7/18/2023,,,,,,,
1916,108,SUP,7/18/2023,,,,,,,
1845,109,SUP,7/18/2023,,,,,,,
2796,111,SUP,7/18/2023,,,,,,,
1420,264,SUP,8/1/2023,,,,,,,
1735,269,SUP,8/1/2023,,,,,,,
3781,482,SUP,8/1/2023,,,,,,,
3500,60,SUP,8/10/2023,,,,,,,
3584,64,SUP,8/10/2023,,,,,,,
3827,64,SUP,8/10/2023,,,,,,,
5439,163,SUP,8/8/2023,,,,,,,
3469,175,SUP,8/8/2023,,,,,,,
4153,175,SUP,8/8/2023,,,,,,,
3078,175,SUP,8/8/2023,,,,,,,
1807,165,SUP,8/8/2023,,,,,,,
1860,284,SUP,8/8/2023,,,,,,,
1914,445,SUP,8/15/2023,,,,,,,
1588,445,SUP,8/15/2023,,,,,,,
2479,459,SUP,8/15/2023,,,,,,,
3947,458,SUP,8/15/2023,,,,,,,
1700,459,SUP,8/15/2023,,,,,,,
5807,465,SUP,8/22/2023,,,,,,,
2609,465,SUP,8/22/2023,,,,,,,
1941,462,SUP,8/22/2023,,,,,,,
4171,466,SUP,8/22/2023,,,,,,,
5644,466,SUP,8/29/2023,,,,,,,
3796,462,SUP,8/29/2023,,,,,,,
5930,464,SUP,8/29/2023,,,,,,,
2447,225,SUP,9/12/2023,,,,,,,
2250,225,SUP,9/12/2023,,,,,,,
1441,221,SUP,9/12/2023,,,,,,,
2098,219,SUP,9/19/2023,,,,,,,
2426,217,SUP,9/19/2023,,,,,,,
2726,219,SUP,9/19/2023,,,,,,,
896,49,SUP,1/10/2024,,,,,,,
2973,51,SUP,1/10/2024,,,,,,,
5080,50,SUP,1/10/2024,,,,,,,
2842,461,SUP,1/9/2023,,,,,,,
