Store,Market ,Store Type ,Volume Classification 
677,146,SUP,L
678,123,SUP,L
680,123,SUP,L
681,5,SUP,L
682,151,SUP,M
683,147,SUP,L
684,147,SUP,L
685,123,SUP,L
686,28,SUP,L
687,121,SUP,L
688,153,SUP,M
689,257,SUP,L
690,124,SUP,L
691,3,SUP,L
692,260,SUP,L
694,254,SUP,L
695,149,SUP,L
696,258,W/M,L
697,93,SUP,M
698,119,SUP,L
699,136,SUP,L
700,8,SUP,L
701,254,SUP,L
702,259,SUP,L
703,67,SUP,L
705,89,SUP,M
706,114,SUP,L
707,136,SUP,L
708,140,SUP,L
709,256,SUP,L
710,153,SUP,L
711,257,SUP,L
712,5,SUP,L
713,114,W/M,L
714,327,SUP,L
715,11,SUP,L
716,136,SUP,L
718,114,SUP,M
719,257,SUP,L
720,260,SUP,L
721,118,SUP,M
722,22,SUP,L
723,7,SUP,L
724,123,SUP,L
725,114,SUP,M
726,10,SUP,L
727,22,SUP,L
728,29,SUP,L
729,256,SUP,L
730,10,SUP,L
731,11,SUP,L
733,10,SUP,L
734,7,SUP,L
735,151,SUP,L
736,253,SUP,L
737,151,SUP,L
738,147,SUP,L
739,258,SUP,L
740,7,SUP,L
741,121,SUP,L
742,124,SUP,L
743,353,SUP,M
744,59,SUP,M
745,19,SUP,L
746,76,SUP,L
748,414,SUP,L
749,414,SUP,L
750,415,SUP,L
752,63,SUP,M
753,415,SUP,L
754,30,SUP,L
755,70,SUP,L
756,120,SUP,L
757,77,SUP,L
758,32,SUP,L
759,116,SUP,L
761,129,SUP,L
762,2,SUP,L
764,11,SUP,L
765,87,SUP,L
766,137,SUP,L
767,101,SUP,L
768,65,SUP,M
769,115,SUP,L
770,406,SUP,L
771,92,SUP,L
772,64,SUP,M
773,134,SUP,L
774,433,SUP,L
775,279,SUP,L
776,432,SUP,L
777,66,SUP,L
778,118,SUP,L
779,114,SUP,M
780,21,SUP,L
781,81,SUP,L
782,88,SUP,L
784,418,SUP,L
785,141,SUP,L
786,264,SUP,L
787,19,SUP,M
789,583,SUP,M
790,429,SUP,L
791,78,SUP,L
793,70,SUP,L
794,409,SUP,L
795,39,SUP,L
796,279,SUP,L
797,418,SUP,L
799,406,SUP,L
800,89,SUP,L
801,360,SUP,L
802,263,SUP,L
803,128,SUP,L
804,48,SUP,L
805,340,SUP,M
806,387,SUP,L
807,50,SUP,M
808,61,SUP,L
809,10,SUP,L
810,426,SUP,L
811,118,SUP,L
812,70,SUP,L
813,81,SUP,L
814,107,SUP,L
815,336,SUP,L
816,141,SUP,L
817,90,SUP,M
818,15,SUP,L
819,105,SUP,M
820,359,SUP,L
821,71,SUP,L
822,70,SUP,L
823,345,SUP,L
824,385,SUP,L
825,257,SUP,L
826,375,SUP,L
827,45,SUP,L
828,251,SUP,M
829,385,W/M,L
830,279,W/M,L
833,271,SUP,L
835,385,SUP,L
836,28,SUP,L
838,345,SUP,L
839,130,SUP,M
840,546,WNM,L
842,389,SUP,L
843,27,SUP,L
844,262,SUP,L
846,85,SUP,L
847,438,SUP,L
848,144,SUP,L
849,59,SUP,L
850,385,SUP,M
851,387,SUP,L
852,262,SUP,L
853,1,SUP,M
854,246,SUP,L
855,20,SUP,L
856,22,SUP,L
857,94,SUP,M
858,97,SUP,L
859,116,SUP,L
860,94,SUP,L
861,71,SUP,M
862,28,SUP,L
863,10,SUP,L
864,28,SUP,L
865,87,SUP,L
866,1,SUP,L
867,429,SUP,L
868,387,SUP,L
869,375,SUP,L
870,580,SUP,L
872,62,SUP,M
873,375,W/M,L
874,141,SUP,L
875,140,SUP,L
877,309,SUP,L
878,24,SUP,L
879,152,SUP,L
880,50,SUP,H
881,41,SUP,M
882,425,SUP,L
884,249,SUP,L
886,426,SUP,L
887,141,SUP,L
889,27,SUP,L
890,91,SUP,M
891,279,SUP,L
892,414,SUP,L
894,356,SUP,M
896,49,SUP,M
897,73,SUP,L
899,27,SUP,L
901,77,SUP,L
902,251,SUP,L
903,140,SUP,L
904,1,SUP,L
905,379,SUP,L
906,384,SUP,L
907,32,SUP,L
908,90,SUP,M
909,125,SUP,L
910,442,SUP,M
911,128,SUP,L
912,125,SUP,L
913,425,SUP,L
914,322,SUP,L
915,62,SUP,M
916,141,SUP,L
918,46,SUP,L
919,15,SUP,L
920,546,WNM,L
921,388,SUP,L
922,243,SUP,L
923,482,SUP,L
924,378,SUP,L
925,114,W/M,M
927,71,SUP,L
928,98,SUP,M
929,107,SUP,M
930,8,SUP,L
931,92,SUP,L
932,16,SUP,L
933,263,SUP,L
934,1,SUP,L
935,130,SUP,L
936,272,SUP,L
937,26,SUP,L
938,8,SUP,L
939,76,SUP,L
940,479,SUP,M
941,116,SUP,M
942,89,SUP,M
943,91,SUP,H
944,15,SUP,L
945,71,SUP,L
947,350,SUP,L
948,304,SUP,L
950,145,SUP,L
952,27,SUP,L
953,378,SUP,L
954,141,SUP,L
955,91,SUP,H
956,92,W/M,L
957,279,W/M,L
958,263,SUP,L
959,89,SUP,L
960,93,SUP,L
961,129,SUP,L
962,389,SUP,L
963,48,SUP,L
964,505,SUP,M
965,438,SUP,L
966,375,SUP,L
967,104,SUP,M
968,116,SUP,M
969,143,SUP,M
970,143,SUP,L
972,479,SUP,M
973,92,SUP,L
974,92,SUP,M
975,350,SUP,L
976,135,SUP,L
977,98,W/M,L
978,406,SUP,L
979,438,SUP,L
980,378,SUP,L
981,138,SUP,M
982,425,SUP,L
984,376,SUP,L
985,418,SUP,L
986,388,W/M,L
987,105,SUP,M
988,104,SUP,H
989,128,SUP,M
990,14,SUP,L
991,1,SUP,M
992,356,SUP,M
993,407,SUP,L
994,104,SUP,M
995,251,SUP,L
998,485,WNM,L
999,86,SUP,M
1000,569,SUP,L
1001,389,SUP,L
1002,580,SUP,L
1003,262,SUP,L
1004,115,SUP,L
1005,426,SUP,L
1006,27,SUP,L
1007,438,SUP,L
1008,378,SUP,L
1009,333,SUP,L
1010,309,SUP,L
1011,29,SUP,L
1012,444,SUP,L
1014,361,SUP,M
1015,505,SUP,M
1016,129,SUP,L
1017,38,SUP,L
1018,28,SUP,L
1019,389,SUP,L
1020,425,SUP,L
1021,339,SUP,L
1022,45,SUP,L
1023,311,SUP,L
1024,30,SUP,L
1025,141,SUP,L
1026,580,SUP,L
1027,306,SUP,M
1028,278,SUP,M
1029,104,SUP,L
1030,38,SUP,L
1032,15,SUP,L
1033,243,SUP,L
1034,305,SUP,L
1035,42,SUP,M
1036,294,SUP,L
1037,36,SUP,M
1038,425,SUP,L
1039,304,SUP,L
1040,65,SUP,M
1041,569,SUP,L
1042,85,SUP,L
1043,350,SUP,L
1044,45,SUP,L
1045,379,SUP,L
1047,20,SUP,L
1048,257,SUP,L
1051,71,SUP,L
1052,11,SUP,L
1053,242,SUP,L
1054,411,SUP,L
1055,583,SUP,M
1056,353,SUP,L
1057,10,SUP,L
1058,388,SUP,L
1060,304,SUP,L
1061,28,SUP,L
1062,63,SUP,H
1064,304,SUP,L
1065,325,SUP,L
1066,143,SUP,L
1068,92,SUP,L
1070,18,SUP,L
1071,341,SUP,L
1072,27,SUP,L
1073,81,SUP,L
1074,136,SUP,L
1075,149,SUP,L
1076,32,SUP,L
1077,97,SUP,L
1079,94,SUP,L
1080,124,SUP,L
1081,93,SUP,L
1082,98,SUP,M
1083,101,SUP,M
1084,91,W/M,M
1085,104,SUP,H
1086,90,SUP,M
1087,107,SUP,L
1088,143,SUP,L
1089,119,SUP,L
1090,101,SUP,M
1091,7,SUP,L
1093,273,SUP,L
1094,361,SUP,L
1096,304,SUP,L
1097,309,SUP,L
1098,84,SUP,L
1099,409,SUP,M
1100,137,SUP,L
1101,8,SUP,L
1102,130,SUP,L
1103,59,SUP,H
1104,104,SUP,M
1105,326,SUP,L
1106,141,SUP,L
1107,134,SUP,L
1109,135,SUP,L
1111,21,SUP,L
1112,16,SUP,L
1113,258,SUP,L
1115,147,SUP,L
1116,349,SUP,L
1117,51,SUP,M
1118,55,SUP,H
1119,105,W/M,L
1120,360,SUP,M
1121,21,SUP,L
1122,18,SUP,L
1123,35,SUP,L
1124,137,SUP,L
1125,278,SUP,L
1126,506,SUP,L
1128,134,SUP,L
1129,82,SUP,L
1130,39,SUP,L
1131,304,SUP,L
1132,298,SUP,L
1133,306,SUP,L
1134,7,SUP,L
1135,38,SUP,L
1136,131,SUP,L
1137,60,SUP,L
1138,441,W/M,L
1139,259,SUP,L
1140,259,SUP,L
1141,249,SUP,M
1142,243,SUP,L
1143,30,SUP,L
1144,42,SUP,L
1146,36,SUP,L
1147,328,SUP,L
1148,349,SUP,L
1149,367,SUP,L
1150,85,SUP,L
1151,362,SUP,L
1153,32,SUP,L
1154,506,SUP,L
1155,310,SUP,L
1156,306,SUP,L
1157,243,SUP,L
1158,2,SUP,L
1159,123,W/M,L
1160,243,SUP,L
1161,339,SUP,M
1162,580,SUP,L
1163,125,SUP,M
1164,41,SUP,L
1165,256,SUP,L
1167,435,SUP,L
1168,141,SUP,L
1169,127,SUP,L
1170,256,SUP,L
1171,115,SUP,L
1172,98,SUP,M
1173,98,SUP,M
1175,364,W/M,L
1176,441,SUP,L
1177,340,SUP,M
1178,50,SUP,L
1179,294,SUP,L
1180,243,SUP,L
1181,26,SUP,L
1182,94,SUP,L
1183,41,SUP,M
1184,23,SUP,L
1185,83,SUP,L
1186,60,SUP,L
1188,339,SUP,L
1190,257,SUP,L
1191,296,SUP,L
1192,141,SUP,L
1193,135,SUP,M
1194,122,SUP,L
1195,143,SUP,L
1196,131,SUP,L
1197,301,SUP,L
1198,506,SUP,L
1199,388,SUP,L
1200,391,SUP,L
1201,3,SUP,L
1202,439,SUP,L
1203,116,SUP,H
1204,66,SUP,L
1205,101,SUP,L
1206,130,SUP,L
1207,15,SUP,L
1209,305,SUP,L
1210,260,SUP,L
1211,270,SUP,L
1212,1,SUP,L
1213,104,SUP,M
1215,120,SUP,L
1216,53,SUP,M
1217,294,SUP,L
1218,366,SUP,L
1219,101,SUP,L
1220,90,SUP,M
1221,409,SUP,L
1222,14,SUP,M
1223,97,SUP,L
1224,14,SUP,L
1225,101,SUP,M
1226,149,SUP,L
1227,30,SUP,M
1228,269,SUP,M
1229,13,SUP,L
1230,364,SUP,L
1231,379,SUP,L
1232,81,SUP,L
1233,258,SUP,L
1234,257,SUP,L
1235,86,SUP,L
1236,302,SUP,L
1237,299,SUP,L
1238,310,SUP,L
1239,217,SUP,M
1240,367,SUP,L
1241,418,SUP,M
1242,294,SUP,L
1243,312,SUP,L
1244,35,SUP,M
1245,114,SUP,L
1247,258,SUP,L
1248,144,SUP,L
1249,74,SUP,L
1252,380,SUP,L
1253,82,SUP,L
1254,76,SUP,L
1255,309,SUP,L
1256,266,SUP,M
1259,258,SUP,L
1260,143,SUP,L
1261,310,SUP,L
1263,254,SUP,M
1264,222,SUP,L
1265,339,SUP,M
1266,130,SUP,L
1267,441,SUP,L
1268,300,SUP,L
1270,39,SUP,L
1271,138,SUP,L
1272,74,SUP,L
1273,389,SUP,L
1274,441,SUP,L
1275,482,SUP,L
1276,444,SUP,L
1277,438,SUP,L
1279,59,SUP,M
1280,388,SUP,L
1281,42,SUP,L
1283,93,SUP,L
1284,16,SUP,L
1285,418,SUP,L
1286,41,SUP,L
1287,296,SUP,L
1288,296,SUP,L
1289,221,SUP,L
1290,304,SUP,L
1291,367,SUP,M
1292,312,SUP,L
1293,30,SUP,L
1294,247,SUP,L
1295,350,SUP,L
1296,569,SUP,L
1297,93,SUP,L
1298,302,SUP,L
1299,364,SUP,L
1300,302,SUP,L
1301,312,SUP,L
1302,311,SUP,L
1303,81,SUP,L
1304,247,SUP,L
1305,441,SUP,L
1306,387,SUP,L
1307,262,SUP,L
1308,380,SUP,L
1309,312,SUP,L
1310,251,SUP,L
1311,16,SUP,M
1312,310,SUP,L
1313,77,SUP,L
1314,24,SUP,M
1315,381,SUP,L
1316,439,SUP,L
1317,294,SUP,L
1318,122,SUP,M
1319,122,SUP,L
1320,122,SUP,L
1321,299,SUP,L
1322,308,SUP,L
1323,278,W/M,L
1324,366,SUP,L
1325,366,W/M,L
1326,429,SUP,L
1327,243,SUP,L
1329,246,SUP,L
1330,222,SUP,L
1331,223,SUP,L
1332,426,SUP,L
1333,222,SUP,L
1334,372,SUP,L
1335,315,SUP,L
1336,311,W/M,L
1337,304,SUP,L
1338,16,SUP,L
1339,41,SUP,L
1340,25,SUP,L
1341,254,SUP,L
1342,128,SUP,M
1344,315,SUP,L
1345,314,SUP,L
1346,143,SUP,L
1347,87,SUP,M
1348,300,SUP,L
1349,109,SUP,M
1350,315,SUP,M
1351,317,SUP,L
1352,300,SUP,L
1353,128,SUP,M
1354,301,SUP,L
1355,302,SUP,L
1356,251,SUP,L
1357,387,SUP,L
1358,36,SUP,L
1359,36,SUP,M
1360,317,SUP,L
1361,426,SUP,L
1362,15,SUP,L
1363,21,SUP,L
1364,365,SUP,L
1365,436,W/M,L
1366,440,SUP,L
1367,32,SUP,L
1368,218,SUP,L
1369,364,SUP,L
1370,365,SUP,L
1371,580,SUP,L
1372,299,SUP,L
1373,23,SUP,M
1374,91,W/M,M
1375,97,SUP,L
1376,152,SUP,L
1377,270,SUP,L
1378,247,SUP,L
1379,301,SUP,L
1380,375,SUP,L
1381,372,SUP,L
1382,39,SUP,L
1383,29,SUP,L
1384,389,SUP,L
1385,305,SUP,L
1386,262,SUP,M
1387,108,SUP,M
1388,248,SUP,L
1389,414,SUP,L
1390,111,SUP,M
1391,94,SUP,L
1392,300,SUP,M
1393,413,SUP,L
1394,435,SUP,L
1395,272,SUP,L
1396,441,SUP,L
1397,384,SUP,L
1398,108,SUP,M
1399,315,SUP,L
1400,21,SUP,L
1401,265,SUP,L
1403,18,SUP,L
1404,269,SUP,L
1405,61,SUP,L
1406,286,SUP,L
1407,221,SUP,L
1408,97,SUP,L
1409,65,SUP,M
1410,223,SUP,L
1411,366,SUP,L
1412,381,SUP,L
1413,270,SUP,M
1414,384,SUP,L
1415,421,SUP,M
1416,207,SUP,L
1417,364,SUP,L
1418,341,SUP,L
1419,248,SUP,M
1420,264,SUP,H
1421,278,SUP,L
1422,204,SUP,L
1423,203,SUP,L
1424,290,SUP,L
1425,247,SUP,L
1426,259,SUP,L
1427,218,SUP,L
1428,204,SUP,L
1429,213,SUP,L
1430,439,SUP,L
1431,418,SUP,L
1432,204,SUP,L
1433,222,SUP,L
1434,391,SUP,L
1436,107,SUP,M
1437,406,SUP,L
1438,405,SUP,L
1439,405,SUP,M
1440,403,SUP,L
1441,221,SUP,L
1443,225,SUP,L
1444,98,SUP,M
1445,213,SUP,L
1446,436,SUP,L
1447,419,SUP,L
1448,213,SUP,L
1449,439,SUP,L
1450,316,SUP,L
1452,309,SUP,M
1453,440,SUP,L
1454,275,SUP,L
1455,44,SUP,L
1457,381,SUP,L
1458,120,SUP,M
1459,249,SUP,M
1460,429,SUP,L
1461,381,SUP,L
1462,7,SUP,L
1463,223,SUP,L
1464,305,SUP,L
1465,314,SUP,L
1466,121,SUP,L
1467,121,SUP,L
1468,136,SUP,L
1469,120,SUP,M
1470,421,SUP,L
1472,423,SUP,L
1473,421,SUP,L
1474,365,SUP,L
1476,243,SUP,L
1477,317,SUP,L
1478,259,SUP,L
1479,238,SUP,L
1481,13,SUP,L
1482,112,W/M,L
1483,430,SUP,L
1485,382,SUP,L
1486,314,SUP,L
1487,238,SUP,L
1488,22,SUP,L
1489,269,W/M,L
1490,263,SUP,L
1491,413,SUP,L
1492,376,SUP,L
1493,14,SUP,L
1494,78,SUP,L
1495,223,SUP,M
1496,415,SUP,L
1497,266,SUP,L
1498,298,SUP,L
1499,317,SUP,L
1500,430,SUP,L
1501,112,W/M,M
1502,301,SUP,L
1503,221,SUP,M
1504,221,SUP,L
1505,258,SUP,L
1507,409,SUP,L
1508,382,SUP,L
1510,225,SUP,L
1511,553,SUP,M
1512,371,SUP,L
1513,111,SUP,M
1514,340,SUP,M
1515,442,SUP,M
1516,70,SUP,L
1517,108,SUP,L
1518,482,SUP,L
1519,218,SUP,L
1520,430,SUP,L
1521,225,SUP,L
1522,320,SUP,L
1523,287,SUP,L
1524,290,SUP,L
1525,287,SUP,M
1526,426,SUP,L
1527,301,SUP,L
1528,415,SUP,L
1529,233,SUP,H
1530,136,SUP,L
