Market,Store,VIN Drop Off,VIN Pick Up
448,5686,3C6MRVJG4PE566364,3C6MRVJG0PE526279
379,905,3C6MRVJG6PE592061,3C6MRVJGXPE575361
376,2892,3C6MRVJG0PE592041,3C6MRVJG2PE592090
107,1087,3C6MRVJG7PE566312,3C6MRVJGXPE592113
104,988,3C6MRVJGXPE555062,3C6MRVJG9PE563170
112,5036,3C6MRVJG1PE575278,3C6MRVJG7PE566391
44,3631,3C6MRVJG4PE573699,3C6MRVJG1PE592114
360,234,3C6MRVJG0PE573702,3C6MRVJG3PE592065
339,2616,3C6MRVJG0PE547391,3C6MRVJG1PE592081
291,1833,3C6MRVJG1PE599354,3C6MRVJG7PE563166
292,5880,3C6MRVJG6PE566298,3C6MRVJG4PE563156
344,622,3C6MRVJG8PE575326,3C6MRVJG3PE526373
352,2803,3C6MRVJG4PE592060,3C6MRVJG6PE566446
270,1413,3C6MRVJG9PE566313,3C6MRVJG7PE566486
362,4475,3C6MRVJG2PE599301,3C6MRVJG7PE566343
235,2281,3C6MRVJG5PE546303,3C6MRVJG8PE566464
229,1770,3C6MRVJG1PE599287,3C6MRVJG2PE566461
323,5260,3C6MRVJG5PE510174,3C6MRVJG9PE526362
389,1273,3C6MRVJG3PE592048,3C6MRVJG7PE509284
403,3620,3C6MRVJG3PE591949,3C6MRVJG9PE512042
403,5763,3C6MRVJG0PE573764,3C6MRVJG9PE592104
235,1739,3C6MRVJGXPE597652,3C6MRVJG9PE566456
394,2483,3C6MRVJG4PE592074,3C6MRVJG5PE592150
397,5269,3C6MRVJG6PE532488,3C6MRVJG3PE575346
323,5261,3C6MRVJG7PE568769,3C6MRVJGXPE522546
340,1177,3C6MRVJG4PE546261,3C6MRVJG7PE592084
322,144,3C6MRVJG5PE575297,3C6MRVJG5PE526357
435,1551,3C6MRVJG6PE552269,3C6MRVJG9PE566439
340,805,3C6MRVJG8PE582826,3C6MRVJG7PE592067
322,359,3C6MRVJG5PE546284,3C6MRVJGXPE526354
283,5753,3C6MRVJG5PE599311,3C6MRVJG0PE512169
112,3418,3C6MRVJGXPE573741,3C6MRVJG5PE566311
373,3751,3C6MRVJG2PE582823,3C6MRVJG0PE575353
292,3639,3C6MRVJG6PE599317,3C6MRVJG8PE509343
292,2038,3C6MRVJG0PE599314,3C6MRVJG7PE509348
396,5070,3C6MRVJG0PE532468 ,3C6MRVJG7PE575351
