Region,Day,Start,End,Session,Room/Level
44,Aug. 20,5:30 PM,7:00 PM,E2E Leadership Reception (Invitation only),George R Brown Convention Center - Lanier Ballroom
44,Aug. 21,7:00 AM,7:30 AM,Market Manager and RGM Meeting (Store Operations Leadership),Grand Ballroom C - Level 3
44,Aug. 21,8:00 AM,12:00 PM,E2E Leadership Meeting (Market level and above),Grand Ballroom AB - Level 3
44,Aug. 21,4:00 PM,5:30 PM,Closing General Session,Hall B3 - Level 3
44,Aug. 22,6:00 AM,7:45 AM,Merchandise Floor is open.,Exhibit Halls A-C - Level 1
44,Aug. 22,8:00 AM,8:45 AM,Home Entertainment/Hardlines,Exhibit Hall C - Level 1
44,Aug. 22,8:45 AM,9:30 AM,Toys,Exhibit Hall C - Level 1
44,Aug. 22,9:30 AM,10:15 AM,E2E Backroom,Exhibit Hall C - Level 1
44,Aug. 22,10:15 AM,12:00 PM,E2E Southwest BU Meeting,Grand Ballroom AB - Level 3
44,Aug. 22,12:15 PM,1:15 PM,Listening Session - Facility Managers Only,Room 320 A-C
44,Aug. 22,12:15 PM,1:15 PM,E2E Market and Regional level Leadership Meeting ,Room 332 C-F
44,Aug. 22,1:30 PM,2:15 PM,Lunch,Exhibit Hall E - Level 1
44,Aug. 22,2:15 PM,3:00 PM,E2E Frontend,Exhibit Hall A - Level 1
44,Aug. 22,3:00 PM,3:45 PM,Apparel,Exhibit Hall A - Level 1
44,Aug. 22,3:45 PM,4:30 PM,Consumables,Exhibit Hall B - Level 1
44,Aug. 23,6:00 AM,7:45 AM,Merchandise Floor is open.,Exhibit Hall A-C Level 1
44,Aug. 23,8:00 AM,8:45 AM,Seasonal,Exhibit Hall B - Level 1
44,Aug. 23,9:00 AM,9:45 AM,Fresh/Food,Exhibit Hall B - Level 1
44,Aug. 23,10:00 AM,11:30 AM,Closing General Session,Hall B3 - Level 3
46,Aug. 20,5:30 PM,7:00 PM,E2E Leadership Reception (Invitation only),George R Brown Convention Center - Lanier Ballroom
46,Aug. 21,7:00 AM,7:30 AM,Market Manager and RGM Meeting (Store Operations Leadership),Grand Ballroom C - Level 3
46,Aug. 21,8:00 AM,12:00 PM,E2E Leadership Meeting (Market level and above),Grand Ballroom AB - Level 3
46,Aug. 21,4:00 PM,5:30 PM,Closing General Session,Hall B3 - Level 3
46,Aug. 22,6:00 AM,7:45 AM,Merchandise Floor is open.,Exhibit Halls A-C - Level 1
46,Aug. 22,8:00 AM,8:45 AM,Home Entertainment/Hardlines,Exhibit Hall C - Level 1
46,Aug. 22,8:45 AM,9:30 AM,Toys,Exhibit Hall C - Level 1
46,Aug. 22,9:30 AM,10:15 AM,E2E Backroom,Exhibit Hall C - Level 1
46,Aug. 22,10:15 AM,12:00 PM,E2E Southwest BU Meeting,Grand Ballroom AB - Level 3
46,Aug. 22,12:15 PM,1:15 PM,Listening Session - Facility Managers Only,Room 320 A-C
46,Aug. 22,12:15 PM,1:15 PM,E2E Market and Regional level Leadership Meeting ,Room 372 B-E
46,Aug. 22,1:30 PM,2:15 PM,Lunch,Exhibit Hall E - Level 1
46,Aug. 22,2:15 PM,3:00 PM,E2E Frontend,Exhibit Hall A - Level 1
46,Aug. 22,3:00 PM,3:45 PM,Apparel,Exhibit Hall A - Level 1
46,Aug. 22,3:45 PM,4:30 PM,Consumables,Exhibit Hall B - Level 1
46,Aug. 23,6:00 AM,7:45 AM,Merchandise Floor is open.,Exhibit Hall A-C Level 1
46,Aug. 23,8:00 AM,8:45 AM,Seasonal,Exhibit Hall B - Level 1
46,Aug. 23,9:00 AM,9:45 AM,Fresh/Food,Exhibit Hall B - Level 1
46,Aug. 23,10:00 AM,11:30 AM,Closing General Session,Hall B3 - Level 3
