Store,Impacted Store
1,Yes
2,Yes
3,Yes
4,Yes
5,Yes
8,Yes
9,Yes
10,Yes
11,Yes
12,Yes
13,Yes
14,Yes
15,Yes
16,Yes
17,Yes
18,Yes
19,Yes
20,Yes
21,Yes
22,Yes
24,Yes
25,Yes
26,Yes
27,Yes
28,Yes
29,Yes
30,Yes
31,Yes
33,Yes
34,Yes
35,Yes
36,Yes
37,Yes
38,Yes
39,Yes
40,Yes
41,Yes
42,Yes
43,Yes
44,Yes
45,Yes
46,Yes
47,Yes
48,Yes
49,Yes
51,Yes
52,Yes
55,Yes
56,Yes
57,Yes
58,Yes
59,Yes
60,Yes
61,Yes
62,Yes
63,Yes
64,Yes
65,Yes
66,Yes
67,Yes
68,Yes
69,Yes
71,Yes
72,Yes
73,Yes
76,Yes
78,Yes
79,Yes
81,Yes
82,Yes
83,Yes
85,Yes
86,Yes
87,Yes
88,Yes
89,Yes
90,Yes
91,Yes
92,Yes
93,Yes
94,Yes
95,Yes
96,Yes
97,Yes
99,Yes
100,Yes
101,Yes
103,Yes
104,Yes
105,Yes
106,Yes
107,Yes
109,Yes
113,Yes
114,Yes
116,Yes
117,Yes
118,Yes
119,Yes
120,Yes
121,Yes
123,Yes
125,Yes
127,Yes
128,Yes
129,Yes
130,Yes
131,Yes
133,Yes
134,Yes
135,Yes
138,Yes
139,Yes
140,Yes
141,Yes
143,Yes
144,Yes
145,Yes
146,Yes
148,Yes
149,Yes
150,Yes
151,Yes
152,Yes
153,Yes
154,Yes
155,Yes
157,Yes
158,Yes
159,Yes
160,Yes
162,Yes
163,Yes
164,Yes
165,Yes
166,Yes
167,Yes
168,Yes
169,Yes
170,Yes
171,Yes
172,Yes
173,Yes
176,Yes
177,Yes
179,Yes
180,Yes
181,Yes
183,Yes
184,Yes
185,Yes
186,Yes
188,Yes
189,Yes
190,Yes
192,Yes
195,Yes
200,Yes
203,Yes
204,Yes
205,Yes
209,Yes
211,Yes
212,Yes
214,Yes
218,Yes
219,Yes
220,Yes
222,Yes
226,Yes
227,Yes
228,Yes
231,Yes
232,Yes
233,Yes
