DC Number,CHG NUMBER (WITH SNOW APPROVAL HYPERLINK),Application,SHORT CHANGE SUMMARY,Change Start Date (MM/DD/YYYY),Change Link
6042,CHG3376257,Order Fulfillment,Enables Order Fulfillment to send store stocking zone data to Witron ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=83cba2114707265c4e8db5f4236d4325&recordUrl=change_request.do%3Fsys_id%3D83cba2114707265c4e8db5f4236d4325&sysparm_stack=&sysparm_view=
6042,CHG3376618,ESS,Replaces the expiring JKS file with a new one for eSalvage batch load in Grocery DCs to maintain secure connections.,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=b65a5b51478f221c4757b5f4236d43aa&recordUrl=change_request.do%3Fsys_id%3Db65a5b51478f221c4757b5f4236d43aa&sysparm_stack=&sysparm_view=
6042,CHG3374345,Receiving,UI Change : DCFIN WAC base URL is changed,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=4ba693c1870fa25c8992eb5d0ebb3501&recordUrl=change_request.do%3Fsys_id%3D4ba693c1870fa25c8992eb5d0ebb3501&sysparm_stack=&sysparm_view=
6047,CHG3372098,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
6047,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6047,CHG3378583,Receiving,Updated configurations for ASN tracker enablement and paperless receiving features,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2daf11614743629c4e8db5f4236d4387&recordUrl=change_request.do%3Fsys_id%3D2daf11614743629c4e8db5f4236d4387&sysparm_stack=&sysparm_view=
6047,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6047,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6047,CHG3376463,Receiving,Updates the Atlas-Receiving app to use a new dcFin WAC base URL for multiple Grocery DCs ,8/4/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6d4a4b1987c32e5c8992eb5d0ebb35a7&recordUrl=change_request.do%3Fsys_id%3D6d4a4b1987c32e5c8992eb5d0ebb35a7&sysparm_stack=&sysparm_view=
6047,CHG3372657,Inventory,Released backend improvements for inventory and shipment syncing,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=840085c5870faa1c8992eb5d0ebb3571&recordUrl=change_request.do%3Fsys_id%3D840085c5870faa1c8992eb5d0ebb3571&sysparm_stack=&sysparm_view=
6047,CHG3372801,Inventory,Piloted a new version of the inventory user interface,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6055,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6055,CHG3366662,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6055,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6055,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6056,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6056,CHG3373753,Shore,Updated Shore system security credentials,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a6563a0dc38be29890873adb050131b4&recordUrl=change_request.do%3Fsys_id%3Da6563a0dc38be29890873adb050131b4&sysparm_stack=&sysparm_view=
6056,CHG3370290,Shore,Enables the BOL lifecycle feature in Atlas Shore ,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=b124d708870b66d88992eb5d0ebb353d&recordUrl=change_request.do%3Fsys_id%3Db124d708870b66d88992eb5d0ebb353d&sysparm_stack=&sysparm_view=
6056,CHG3370802,Shore,Released unified user interface for Shore system,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=b124d708870b66d88992eb5d0ebb353d&recordUrl=change_request.do%3Fsys_id%3Db124d708870b66d88992eb5d0ebb353d&sysparm_stack=&sysparm_view=
6056,CHG3373677,Shore,Piloted secure headers in Shore services for improved authorization,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=e093fa4dc3c7e29890873adb050131b1&recordUrl=change_request.do%3Fsys_id%3De093fa4dc3c7e29890873adb050131b1&sysparm_stack=&sysparm_view=
6056,CHG3374345,Receiving,UI Change : DCFIN WAC base URL is changed,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=4ba693c1870fa25c8992eb5d0ebb3501&recordUrl=change_request.do%3Fsys_id%3D4ba693c1870fa25c8992eb5d0ebb3501&sysparm_stack=&sysparm_view=
6056,CHG3375797,Order Fulfillment,Pilot deployment of Trip Handout 1.0 (congestion focus),7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=4ba693c1870fa25c8992eb5d0ebb3501&recordUrl=change_request.do%3Fsys_id%3D4ba693c1870fa25c8992eb5d0ebb3501&sysparm_stack=&sysparm_view=
6056,CHG3372238,Shore,Truncates unused invoice tables in Shore to reduce cloud storage costs.,8/1/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=
6057,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6057,CHG3374345,Receiving,UI Change : DCFIN WAC base URL is changed,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=4ba693c1870fa25c8992eb5d0ebb3501&recordUrl=change_request.do%3Fsys_id%3D4ba693c1870fa25c8992eb5d0ebb3501&sysparm_stack=&sysparm_view=
6057,CHG3376618,ESS,Replaces the expiring JKS file with a new one for eSalvage batch load in Grocery DCs to maintain secure connections.,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=b65a5b51478f221c4757b5f4236d43aa&recordUrl=change_request.do%3Fsys_id%3Db65a5b51478f221c4757b5f4236d43aa&sysparm_stack=&sysparm_view=
6057,CHG3376257,Order Fulfillment,Enables Order Fulfillment to send store stocking zone data to Witron ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=83cba2114707265c4e8db5f4236d4325&recordUrl=change_request.do%3Fsys_id%3D83cba2114707265c4e8db5f4236d4325&sysparm_stack=&sysparm_view=
6059,CHG3372657,Inventory,Released backend improvements for inventory and shipment syncing,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=840085c5870faa1c8992eb5d0ebb3571&recordUrl=change_request.do%3Fsys_id%3D840085c5870faa1c8992eb5d0ebb3571&sysparm_stack=&sysparm_view=
6059,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6059,CHG3372098,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
6059,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6059,CHG3378583,Receiving,Updated configurations for ASN tracker enablement and paperless receiving features,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2daf11614743629c4e8db5f4236d4387&recordUrl=change_request.do%3Fsys_id%3D2daf11614743629c4e8db5f4236d4387&sysparm_stack=&sysparm_view=
6059,CHG3376463,Receiving,Updates the Atlas-Receiving app to use a new dcFin WAC base URL for multiple Grocery DCs ,8/4/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6d4a4b1987c32e5c8992eb5d0ebb35a7&recordUrl=change_request.do%3Fsys_id%3D6d4a4b1987c32e5c8992eb5d0ebb35a7&sysparm_stack=&sysparm_view=
6059,CHG3372801,Inventory,Piloted a new version of the inventory user interface,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
6059,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6062,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6062,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6062,CHG3366662,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6062,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6064,CHG3373753,Shore,Updated Shore system security credentials,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a6563a0dc38be29890873adb050131b4&recordUrl=change_request.do%3Fsys_id%3Da6563a0dc38be29890873adb050131b4&sysparm_stack=&sysparm_view=
6064,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6064,CHG3370802,Shore,Released unified user interface for Shore system,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=b6044c1c878f2ad88992eb5d0ebb357f&recordUrl=change_request.do%3Fsys_id%3Db6044c1c878f2ad88992eb5d0ebb357f&sysparm_stack=&sysparm_view=
6064,CHG3373677,Shore,Piloted secure headers in Shore services for improved authorization,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=e093fa4dc3c7e29890873adb050131b1&recordUrl=change_request.do%3Fsys_id%3De093fa4dc3c7e29890873adb050131b1&sysparm_stack=&sysparm_view=
6064,CHG3370290,Shore,Enables the BOL lifecycle feature in Atlas Shore ,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=b124d708870b66d88992eb5d0ebb353d&recordUrl=change_request.do%3Fsys_id%3Db124d708870b66d88992eb5d0ebb353d&sysparm_stack=&sysparm_view=
6064,CHG3372238,Shore,Truncates unused invoice tables in Shore to reduce cloud storage costs.,8/1/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=
6064,CHG3375797,Order Fulfillment,Pilot deployment of Trip Handout 1.0 (congestion focus),7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=fe07bd91478ba25c4e8db5f4236d43da&recordUrl=change_request.do%3Fsys_id%3Dfe07bd91478ba25c4e8db5f4236d43da&sysparm_stack=&sysparm_view=
6065,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6065,CHG3376257,Order Fulfillment,Enables Order Fulfillment to send store stocking zone data to Witron ,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=83cba2114707265c4e8db5f4236d4325&recordUrl=change_request.do%3Fsys_id%3D83cba2114707265c4e8db5f4236d4325&sysparm_stack=&sysparm_view=
6065,CHG3374345,Receiving,UI Change : DCFIN WAC base URL is changed,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=4ba693c1870fa25c8992eb5d0ebb3501&recordUrl=change_request.do%3Fsys_id%3D4ba693c1870fa25c8992eb5d0ebb3501&sysparm_stack=&sysparm_view=
6065,CHG3376618,ESS,Replaces the expiring JKS file with a new one for eSalvage batch load in Grocery DCs to maintain secure connections.,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=b65a5b51478f221c4757b5f4236d43aa&recordUrl=change_request.do%3Fsys_id%3Db65a5b51478f221c4757b5f4236d43aa&sysparm_stack=&sysparm_view=
6071,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
6071,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6071,CHG3366662,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
