Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,5,50,
1,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,7,50,
1,Dept 16,"ESP 26IN USA DISC, 12 units",PDQ,4,50,
1,Dept 16,"ESP 48IN USA SLED, 72 units",Full Stack,3,50,
1,Dept 16,PowerSmart MB7109A 24 in. 212cc 2-Stage Electric S,Full Stack,1,50,
1,Dept 40,EQ MCX COUGH CAPLET 24CT,SDK,1,50,
1,Dept 92,1728 PC Bauducco Maria Cookies 6oz Single PK,Full Stack,1,50,
1,Dept 92,CHARRAS Display Ready Pallet 315ct,Full Stack,1,50,
1,Dept 92,ISADORA Half Pallet 348 unit count (3 flavors),Half Stack,1,50,
1,Dept 92,La Moderna Bin With 2000 Units of 7oz Pasta,Dump Bin,1,50,
2,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,1,50,
2,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,5,50,
2,Dept 16,"27IN SNOW ROLLER, 6 units",PDQ,6,50,
2,Dept 16,"ESP 48IN USA SLED, 72 units",Full Stack,3,50,
2,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,5,50,
2,Dept 17,"MS Furball $5 Dump Bin, 144pcs",Dump Bin,1,50,
2,Dept 40,INSTASOOTHE COUGH DROP 54PC,SDK,1,50,
2,Dept 71,"MS 6” Medium Firm Memory Foam Mattress, Twin, 4 units",Full Endcap,1,50,
3,Dept 40,INSTASOOTHE COUGH DROP 54PC,SDK,1,50,
4,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,50,
4,Dept 02,EQ M/W 5Bbade Disposable,4-way,1,50,
4,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,50,
4,Dept 71,"MS 6FT BM TABLE White, 8 units",Full Stack,2,50,
4,Dept 95,"On the Boarder Tortilla Chips, 154 units",PDQ,1,50,
5,Dept 02,294 PC Working Hands Combo Pallet,Full Stack,1,50,
5,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,2,50,
5,Dept 02,EQ M/W 5Bbade Disposable,4-way,1,50,
5,Dept 07,HW 5-Pack,SDK,2,50,
5,Dept 09,"Crown 1-K Kerosene, Clean Burning Fuel, 1 Gallon, 64pcs",Full Endcap,1,50,
5,Dept 09,"Mr. Heater Brand 3,800BTU Little Buddy Portable Heater, 16 units",Full Endcap,1,50,
5,Dept 09,"Ozark Trail 360° Propane Portable Indoor/Outdoor Heater, 12 units",Full Endcap,1,50,
5,Dept 11,"Hefty Trash Bags Assortment, 80pcs",Full Endcap,1,50,
5,Dept 14,"Instant Pot 5 QT Air Fryer, 8 units",Full Endcap,2,50,
5,Dept 16,"18IN SNOWSHVL COMBO, 10 units",PDQ,2,50,
5,Dept 16,"ESP 26IN USA DISC, 12 units",PDQ,2,50,
5,Dept 16,"ESP 48IN USA SLED, 72 units",Full Stack,2,50,
5,Dept 29,WTC Valentines DAY 7PK - 168 UNITS,Side-stack,1,50,
5,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,2,50,
5,Dept 40,INSTASOOTHE COUGH DROP 54PC,SDK,1,50,
5,Dept 40,Quest 4ct Chips 64 pieces,Full Endcap,1,50,
5,Dept 40,Quest Bars 72 pieces,4-way,2,50,
5,Dept 72,ONN LED LIGHT 10FT (24),Side-stack,1,50,
5,Dept 92,La Moderna Bin With 2000 Units of 7oz Pasta,Dump Bin,1,50,
5,Dept 92,"Quaker Protein Oatmeal Half Pallet, 184ct",Half Stack,2,50,
7,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,2,50,
7,Dept 02,EQ M/W 5Bbade Disposable,4-way,1,50,
7,Dept 08,"Vibrant Life Cedar Pet Bedding 141L, 50 units",Full Stack,1,50,
7,Dept 08,"VL Pine Bedding 141L, 50 units",Full Stack,1,50,
7,Dept 09,"Crown 1-K Kerosene, Clean Burning Fuel, 1 Gallon, 64pcs",Full Endcap,1,50,
7,Dept 11,"Hefty Trash Bags Assortment, 80pcs",Full Endcap,1,50,
7,Dept 13,48 CT BTS LIBMAN,Half Stack,2,50,
7,Dept 13,Windex 32oz 120 units,PDQ,2,50,
7,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,3,50,
7,Dept 17,"MS Boot Tray, 150pcs",Full Endcap,1,50,
7,Dept 40,EQ MCX COUGH CAPLET 24CT,SDK,1,50,
7,Dept 46,Neutrogena 50ct Wipe PDQ - 100pc,Full Endcap,1,50,
7,Dept 72,"SPX 10OZ SNGL DUSTER, 144 Units",Full Endcap,1,50,
7,Dept 95,"On the Boarder Tortilla Chips, 154 units",PDQ,2,50,
8,Dept 02,"Bodycology 2.7oz Mist, 84 units",SDK,1,50,
8,Dept 02,"Dr Teal's 184ea 3lb salts, 120ea Foam",Full Endcap,1,50,
8,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,50,
8,Dept 02,EQ M/W 5Bbade Disposable,4-way,1,50,
8,Dept 02,Jergens Loyalty Size 72 pcs,4-way,1,50,
8,Dept 04,Ziploc Storage 150ct,Half Stack,1,50,
8,Dept 11,"Hefty Trash Bags Assortment, 80pcs",Full Endcap,1,50,
8,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,2,50,
8,Dept 13,Windex 32oz 120 units,PDQ,2,50,
8,Dept 40,EQ MCX COUGH CAPLET 24CT,SDK,1,50,
8,Dept 40,EQ No Drip Nasal Sprays 36PC,SDK,1,50,
8,Dept 40,INSTASOOTHE COUGH DROP 54PC,SDK,1,50,
8,Dept 40,Premier Single Bottles 384pcs,Half Stack,1,50,
8,Dept 40,Quest Bars 72 pieces,4-way,1,50,
8,Dept 46,Neutrogena Wipes 25 ct - 100pc,Full Endcap,2,50,
8,Dept 72,ONN LED LIGHT 10FT (24),Side-stack,1,50,
8,Dept 72,ROKU TV REMOTE (24),SDK,1,50,
8,Dept 72,"SPX 10OZ SNGL DUSTER, 144 Units",Full Endcap,1,50,
8,Dept 92,KNORR MX 768 PC PLT,Full Stack,1,50,
8,Dept 92,OLD EL PASO Taco Hut 426 pc,Full Stack,1,50,
8,Dept 95,"On the Boarder Tortilla Chips, 154 units",PDQ,2,50,
9,Dept 02,EOS 40PC BODY MIST,SDK,1,50,
9,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,2,50,
9,Dept 02,EQ M/W 5Bbade Disposable,4-way,1,50,
9,Dept 09,"Crown 1-K Kerosene, Clean Burning Fuel, 1 Gallon, 64pcs",Full Endcap,1,50,
9,Dept 09,"Reusable warmer 2 pk, 24pcs",SDK,1,50,
9,Dept 09,"Seat Warmer, 18pcs",SDK,1,50,
9,Dept 13,"Mr. Clean Magic Eraser, 20 count",SDK,2,50,
9,Dept 16,"PREM BLEND Ice Melt, 100pcs",Full Stack,1,50,
9,Dept 17,"MS Boot Tray, 150pcs",Full Endcap,1,50,
9,Dept 40,INSTASOOTHE COUGH DROP 54PC,SDK,1,50,
9,Dept 40,Quest Bars 72 pieces,4-way,1,50,
9,Dept 46,Neutrogena Wipes 25 ct - 100pc,Full Endcap,1,50,
9,Dept 82,Energizer 736ct,Half Stack,1,50,
9,Dept 92,OLD EL PASO Taco Hut 426 pc,Full Stack,1,50,
9,Dept 95,Veggie Straws,PDQ,1,50,
10,Dept 02,"EQ Jumbo Pouf, 312pcs",Full Endcap,1,50,
10,Dept 07,2pk Giganitcs (DumpTruck/Firetruck) 12pc Assortment,Half Stack,1,50,
10,Dept 08,"VL Pine Bedding 141L, 50 units",Full Stack,1,50,
